GPU: Name,GPU: Process Size (nm),GPU: Architecture,GPU: Memory Type,GPU: Memory Frequency (MHz),GPU: Memory Size,GPU: Base Clock,GPU: Memory Bus,GPU: Release quarter,GPU: Power Consumption
radeon rx 5300m,7.0,Navi 14,DDR6,1750.0,3.0,1000.0,96.0,2019.75,85.0
radeon rx 5500m (4gb gddr6),7.0,Navi 14,DDR6,1750.0,4.0,1375.0,128.0,2019.75,85.0
radeon rx 5600m,7.0,Navi 10,DDR6,1500.0,6.0,1035.0,192.0,2020.5,150.0
radeon rx 640,14.0,Polaris 23,DDR5,1500.0,2.0,1082.0,64.0,2019.25,50.0
radeon rx 6500m,6.0,Navi 24,DDR6,2250.0,4.0,2000.0,64.0,2022.0,50.0
radeon rx 6550m,6.0,Navi 24,DDR6,2250.0,4.0,2000.0,64.0,2023.0,80.0
radeon rx 6600m,7.0,Navi 23,DDR6,1750.0,8.0,2068.0,128.0,2021.25,100.0
radeon rx 6600s,7.0,Navi 23,DDR6,1750.0,4.0,1700.0,128.0,2022.0,80.0
radeon rx 6650m,7.0,Navi 23,DDR6,1750.0,8.0,2068.0,128.0,2022.0,120.0
radeon rx 6700m,7.0,Navi 22,DDR6,2000.0,10.0,1489.0,160.0,2021.25,135.0
radeon rx 6700m,7.0,Navi 22,DDR6,2000.0,10.0,1489.0,160.0,2021.25,135.0
radeon rx 6700s,7.0,Navi 23,DDR6,1750.0,8.0,1700.0,128.0,2022.0,80.0
radeon rx 6800m,7.0,Navi 22,DDR6,2000.0,12.0,2116.0,192.0,2021.25,145.0
radeon rx 6800s,7.0,Navi 23,DDR6,2000.0,8.0,1800.0,128.0,2022.0,100.0
radeon rx 6850m xt,7.0,Navi 22,DDR6,2250.0,12.0,2321.0,192.0,2022.0,165.0
radeon rx 7600m xt,6.0,Navi 33,DDR6,2250.0,8.0,1280.0,128.0,2023.0,120.0
radeon rx 7600s,6.0,Navi 33,DDR6,2000.0,8.0,1500.0,128.0,2023.0,75.0
radeon rx 7600s (95w),6.0,Navi 33,DDR6,16000.0,8.0,,128.0,2023.0,95.0
radeon rx 7700s,6.0,Navi 33,DDR6,2250.0,8.0,1500.0,128.0,2023.0,100.0
radeon rx vega 10,14.0,Raven-M,shared,0.0,0.0,300.0,0.0,2017.75,10.0
radeon rx vega 3,14.0,Vega Raven Ridge,shared,0.0,0.0,400.0,0.0,2018.0,15.0
radeon rx vega 5,7.0,,shared,0.0,0.0,400.0,0.0,2020.0,15.0
"radeon rx vega 6 (r4000/5000, 15w)",7.0,Vega Renoir,shared,0.0,0.0,,0.0,2020.0,15.0
"radeon rx vega 6 (r4000/5000, 35/45w)",7.0,Vega Renoir,shared,0.0,0.0,,0.0,2021.0,45.0
"radeon rx vega 7 (r4000/5000, 15w)",7.0,Renoir,shared,0.0,0.0,,0.0,2020.0,15.0
"radeon rx vega 7 (r4000/5000, 15w)",7.0,Renoir,shared,0.0,0.0,,0.0,2020.0,15.0
"radeon rx vega 7 (r4000/5000, 35/45w)",7.0,Renoir,shared,0.0,0.0,,0.0,2020.0,35.0
"radeon rx vega 8 (r2000/3000, 15w)",14.0,Vega,shared,0.0,0.0,,0.0,2017.75,15.0
"radeon rx vega 8 (r2000/3000, 15w)",14.0,Vega,shared,0.0,0.0,,0.0,2017.75,15.0
"radeon rx vega 8 (r4000/5000, 15w)",7.0,,shared,0.0,0.0,400.0,0.0,2020.25,15.0
"radeon rx vega 8 (r4000/5000, 35/45w)",7.0,,shared,0.0,0.0,,0.0,2020.25,45.0
radeon vega 9,12.0,Picasso-M,shared,0.0,0.0,300.0,0.0,2019.75,15.0
arc (7-cores),5.0,Xe LPG,shared,0.0,0.0,,0.0,2023.75,
arc (8-cores),5.0,Xe LPG,shared,0.0,0.0,,0.0,2023.75,
arc a350m,6.0,DG2-128,DDR6,1750.0,4.0,1150.0,64.0,2022.0,25.0
arc a370m,6.0,DG2-128,DDR6,1750.0,4.0,1550.0,64.0,2022.0,35.0
arc a530m,6.0,DG2-256,DDR6,1750.0,8.0,900.0,128.0,2023.5,65.0
arc a550m,6.0,DG2-512,DDR6,1750.0,8.0,900.0,128.0,2022.0,60.0
arc a730m,6.0,DG2-512,DDR6,1750.0,12.0,1100.0,192.0,2022.0,80.0
arc pro a30m graphics,6.0,DG2-128,DDR6,2000.0,4.0,1500.0,64.0,2022.5,50.0
graphics (4-cores),5.0,Xe LPG,shared,0.0,0.0,,0.0,2023.75,
hd graphics 400 (braswell),14.0,Braswell GT1,shared,0.0,0.0,320.0,0.0,2015.25,6.0
hd graphics 500 (apollo lake),14.0,Apollo Lake GT1,shared,0.0,0.0,200.0,0.0,2015.5,6.0
