,GPU Name,Architecture,Foundry,Process Size,Transistors,Die Size,Release Date,Generation,Bus Interface,Base Clock,Boost Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Bandwidth,Shading Units,TMUs,ROPs,Compute Units,L1 Cache,L2 Cache,Pixel Rate,Texture Rate,FP32 (float),FP64 (double),TDP,DirectX,OpenGL,OpenCL,Vulkan,Shader Model,SMM Count,SM Count,Tensor Cores,RT Cores,L0 Cache,L3 Cache,Name
588,Venus,GCN 1.0,TSMC,28 nm,"1,500 million",123 mm²,"Jan 28th, 2014",Gem System,PCIe 3.0 x16,900 MHz,925 MHz,1000 MHz,2 GB,GDDR5,128 bit,64.00 GB/s,640,40,16,10.0,16 KB (per CU),256 KB,14.80 GPixel/s,37.00 GTexel/s,"1,184 GFLOPS",74.00 GFLOPS,unknown,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,Radeon R9 M275
589,Venus,GCN 1.0,TSMC,28 nm,"1,500 million",123 mm²,"Jan 28th, 2014",Gem System,PCIe 3.0 x16,900 MHz,925 MHz,1125 MHz,2 GB,GDDR5,128 bit,72.00 GB/s,640,40,16,10.0,16 KB (per CU),256 KB,14.80 GPixel/s,37.00 GTexel/s,"1,184 GFLOPS",74.00 GFLOPS,unknown,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,Radeon R9 M275X
590,Neptune,GCN 1.0,TSMC,28 nm,"2,800 million",212 mm²,"Jan 9th, 2014",Gem System,PCIe 3.0 x16,850 MHz,900 MHz,1200 MHz,4 GB,GDDR5,256 bit,153.6 GB/s,1280,80,32,20.0,16 KB (per CU),512 KB,28.80 GPixel/s,72.00 GTexel/s,2.304 TFLOPS,144.0 GFLOPS,100 W,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,Radeon R9 M290X
591,Pitcairn,GCN 1.0,TSMC,28 nm,"2,800 million",212 mm²,"Nov 23rd, 2014",Gem System,PCIe 3.0 x16,850 MHz,975 MHz,1365 MHz,2 GB,GDDR5,256 bit,174.7 GB/s,1024,64,32,16.0,16 KB (per CU),512 KB,31.20 GPixel/s,62.40 GTexel/s,1.997 TFLOPS,124.8 GFLOPS,80 W,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,Radeon R9 M290X Mac Edition
592,Amethyst,GCN 3.0,TSMC,28 nm,"5,000 million",366 mm²,"Nov 23rd, 2014",Gem System,MXM-B (3.0),,,1250 MHz,4 GB,GDDR5,256 bit,160.0 GB/s,2048,128,32,32.0,16 KB (per CU),512 KB,23.14 GPixel/s,92.54 GTexel/s,2.961 TFLOPS,185.1 GFLOPS,250 W,12,4.6,2.1,1.2.170,6.5,,,,,,,Radeon R9 M295X
593,Amethyst,GCN 3.0,TSMC,28 nm,"5,000 million",366 mm²,"Nov 23rd, 2014",Gem System,MXM-B (3.0),,,1362 MHz,4 GB,GDDR5,256 bit,174.3 GB/s,2048,128,32,32.0,16 KB (per CU),512 KB,27.20 GPixel/s,108.8 GTexel/s,3.482 TFLOPS,217.6 GFLOPS,250 W,12,4.6,2.1,1.2.170,6.5,,,,,,,Radeon R9 M295X Mac Edition
594,Broadwell GT2,Generation 8.0,Intel,14 nm,unknown,unknown,"Sep 5th, 2014",HD Graphics-M,Ring Bus,300 MHz,800 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,,,,2.400 GPixel/s,19.20 GTexel/s,307.2 GFLOPS,76.80 GFLOPS,15 W,12,4.4,3.0,1.0,5.1,,,,,,,HD Graphics 5300 Mobile
595,Broadwell GT2,Generation 8.0,Intel,14 nm,unknown,unknown,"Sep 5th, 2014",HD Graphics-M,Ring Bus,300 MHz,850 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,,,,2.550 GPixel/s,20.40 GTexel/s,326.4 GFLOPS,81.60 GFLOPS,15 W,12,4.4,3.0,1.0,5.1,,,,,,,HD Graphics 5500 Mobile
596,Broadwell GT2,Generation 8.0,Intel,14 nm,unknown,unknown,"Sep 5th, 2014",HD Graphics-M,Ring Bus,300 MHz,1050 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,,,,3.150 GPixel/s,25.20 GTexel/s,403.2 GFLOPS,100.8 GFLOPS,15 W,12,4.4,3.0,1.0,5.1,,,,,,,HD Graphics 5600 Mobile
597,Broadwell GT3,Generation 8.0,Intel,14 nm,unknown,133 mm²,"Sep 5th, 2014",HD Graphics-M,Ring Bus,300 MHz,950 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,384,48,6,,,,5.700 GPixel/s,45.60 GTexel/s,729.6 GFLOPS,182.4 GFLOPS,15 W,12,4.4,3.0,1.0,5.1,,,,,,,HD Graphics 6000 Mobile
