,link,name
40,/gpu-specs/radeon-r8-m365dx.c2803,Radeon R8 M365DX
41,/gpu-specs/radeon-r9-a375.c2716,Radeon R9 A375
42,/gpu-specs/radeon-r9-m270x.c2582,Radeon R9 M270X
43,/gpu-specs/radeon-r9-m280x.c2581,Radeon R9 M280X
44,/gpu-specs/radeon-r9-m280x.c2807,Radeon R9 M280X
45,/gpu-specs/radeon-r9-m360.c2688,Radeon R9 M360
46,/gpu-specs/radeon-r9-m365x.c2761,Radeon R9 M365X
47,/gpu-specs/radeon-r9-m370x-mac-edition.c2730,Radeon R9 M370X Mac Edition
48,/gpu-specs/radeon-r9-m375.c2690,Radeon R9 M375
49,/gpu-specs/radeon-r9-m375x.c2689,Radeon R9 M375X
50,/gpu-specs/radeon-r9-m380.c2708,Radeon R9 M380
51,/gpu-specs/radeon-r9-m380-mac-edition.c3047,Radeon R9 M380 Mac Edition
52,/gpu-specs/radeon-r9-m385.c2709,Radeon R9 M385
53,/gpu-specs/radeon-r9-m385x.c2743,Radeon R9 M385X
54,/gpu-specs/radeon-r9-m390-mac-edition.c3769,Radeon R9 M390 Mac Edition
55,/gpu-specs/radeon-r9-m390x.c2732,Radeon R9 M390X
56,/gpu-specs/radeon-r9-m395-mac-edition.c2960,Radeon R9 M395 Mac Edition
57,/gpu-specs/radeon-r9-m395x.c3577,Radeon R9 M395X
58,/gpu-specs/radeon-r9-m395x-mac-edition.c2809,Radeon R9 M395X Mac Edition
59,/gpu-specs/hd-graphics-12eu-mobile.c3149,HD Graphics 12EU Mobile
60,/gpu-specs/hd-graphics-12eu-mobile.c3115,HD Graphics 12EU Mobile
61,/gpu-specs/hd-graphics-400-mobile.c2900,HD Graphics 400 Mobile
62,/gpu-specs/hd-graphics-405-mobile.c2901,HD Graphics 405 Mobile
63,/gpu-specs/hd-graphics-500-mobile.c2902,HD Graphics 500 Mobile
64,/gpu-specs/hd-graphics-510-mobile.c2784,HD Graphics 510 Mobile
65,/gpu-specs/hd-graphics-515-mobile.c3400,HD Graphics 515 Mobile
66,/gpu-specs/hd-graphics-520-mobile.c2783,HD Graphics 520 Mobile
67,/gpu-specs/hd-graphics-530-mobile.c2785,HD Graphics 530 Mobile
68,/gpu-specs/iris-graphics-540-mobile.c2786,Iris Graphics 540 Mobile
69,/gpu-specs/iris-graphics-550-mobile.c2787,Iris Graphics 550 Mobile
70,/gpu-specs/iris-pro-graphics-580-mobile.c2788,Iris Pro Graphics 580 Mobile
71,/gpu-specs/iris-pro-graphics-p580-mobile.c3606,Iris Pro Graphics P580 Mobile
72,/gpu-specs/geforce-810m.c2774,GeForce 810M
73,/gpu-specs/geforce-820m.c2701,GeForce 820M
74,/gpu-specs/geforce-845m.c2660,GeForce 845M
75,/gpu-specs/geforce-845m.c2753,GeForce 845M
76,/gpu-specs/geforce-910m.c2764,GeForce 910M
77,/gpu-specs/geforce-920a.c2647,GeForce 920A
78,/gpu-specs/geforce-920m.c2646,GeForce 920M
79,/gpu-specs/geforce-930a.c2816,GeForce 930A
80,/gpu-specs/geforce-930m.c4002,GeForce 930M
81,/gpu-specs/geforce-930m.c2644,GeForce 930M
82,/gpu-specs/geforce-940a.c2649,GeForce 940A
83,/gpu-specs/geforce-940a.c2737,GeForce 940A
84,/gpu-specs/geforce-940m.c2643,GeForce 940M
85,/gpu-specs/geforce-940m.c2648,GeForce 940M
86,/gpu-specs/geforce-945a.c2813,GeForce 945A
87,/gpu-specs/geforce-945m.c2773,GeForce 945M
88,/gpu-specs/geforce-gtx-860m-oem.c2659,GeForce GTX 860M OEM
89,/gpu-specs/geforce-gtx-950a.c2776,GeForce GTX 950A
90,/gpu-specs/geforce-gtx-950m.c2642,GeForce GTX 950M
91,/gpu-specs/geforce-gtx-950m-mac-edition.c2777,GeForce GTX 950M Mac Edition
92,/gpu-specs/geforce-gtx-960a.c2775,GeForce GTX 960A
93,/gpu-specs/geforce-gtx-960m.c2635,GeForce GTX 960M
94,/gpu-specs/geforce-gtx-965m.c2634,GeForce GTX 965M
95,/gpu-specs/geforce-gtx-965m.c2880,GeForce GTX 965M
96,/gpu-specs/geforce-gtx-965m-4-gb.c2814,GeForce GTX 965M 4 GB
97,/gpu-specs/geforce-gtx-980-mobile.c2763,GeForce GTX 980 Mobile
98,/gpu-specs/jetson-tx1.c3230,Jetson TX1
99,/gpu-specs/quadro-k620m.c2678,Quadro K620M
100,/gpu-specs/quadro-m1000m.c2739,Quadro M1000M
101,/gpu-specs/quadro-m2000m.c2740,Quadro M2000M
102,/gpu-specs/quadro-m3000m.c2759,Quadro M3000M
103,/gpu-specs/quadro-m4000m.c2822,Quadro M4000M
104,/gpu-specs/quadro-m5000m.c2823,Quadro M5000M
105,/gpu-specs/quadro-m600m.c2738,Quadro M600M
106,/gpu-specs/tesla-m6-mobile.c2818,Tesla M6 Mobile
107,/gpu-specs/tesla-m6-x2-mobile.c4123,Tesla M6 X2 Mobile
108,/gpu-specs/geforce-rtx-5050-mobile.c4239,GeForce RTX 5050 Mobile
109,/gpu-specs/geforce-rtx-5060-mobile.c4230,GeForce RTX 5060 Mobile
110,/gpu-specs/geforce-rtx-5070-mobile.c4237,GeForce RTX 5070 Mobile
111,/gpu-specs/geforce-rtx-5070-ti-mobile.c4238,GeForce RTX 5070 Ti Mobile
112,/gpu-specs/geforce-rtx-5080-mobile.c4236,GeForce RTX 5080 Mobile
113,/gpu-specs/geforce-rtx-5090-mobile.c4235,GeForce RTX 5090 Mobile
114,/gpu-specs/radeon-880m.c4225,Radeon 880M
115,/gpu-specs/radeon-890m.c4224,Radeon 890M
116,/gpu-specs/geforce-rtx-3050-a-mobile.c4227,GeForce RTX 3050 A Mobile
117,/gpu-specs/rtx-1000-mobile-ada-generation.c4208,RTX 1000 Mobile Ada Generation
118,/gpu-specs/rtx-500-mobile-ada-generation.c4207,RTX 500 Mobile Ada Generation
119,/gpu-specs/radeon-610m.c4021,Radeon 610M
120,/gpu-specs/radeon-660m.c4136,Radeon 660M
121,/gpu-specs/radeon-680m.c4135,Radeon 680M
122,/gpu-specs/radeon-740m.c4162,Radeon 740M
123,/gpu-specs/radeon-760m.c4222,Radeon 760M
124,/gpu-specs/radeon-760m.c4022,Radeon 760M
125,/gpu-specs/radeon-780m.c4221,Radeon 780M
126,/gpu-specs/radeon-780m.c4020,Radeon 780M
127,/gpu-specs/radeon-rx-6450m.c4018,Radeon RX 6450M
128,/gpu-specs/radeon-rx-6550m.c4017,Radeon RX 6550M
129,/gpu-specs/radeon-rx-6550s.c3981,Radeon RX 6550S
130,/gpu-specs/radeon-rx-7600m.c4014,Radeon RX 7600M
131,/gpu-specs/radeon-rx-7600m-xt.c4013,Radeon RX 7600M XT
132,/gpu-specs/radeon-rx-7600s.c4016,Radeon RX 7600S
133,/gpu-specs/radeon-rx-7700s.c4015,Radeon RX 7700S
134,/gpu-specs/radeon-rx-7900m.c4178,Radeon RX 7900M
135,/gpu-specs/arc-a380m.c4060,Arc A380M
136,/gpu-specs/arc-a530m.c4167,Arc A530M
137,/gpu-specs/arc-a570m.c4168,Arc A570M
138,/gpu-specs/arc-graphics-112eu-mobile.c4196,Arc Graphics 112EU Mobile
139,/gpu-specs/arc-graphics-128eu-mobile.c4193,Arc Graphics 128EU Mobile
140,/gpu-specs/arc-graphics-48eu-mobile.c4198,Arc Graphics 48EU Mobile
141,/gpu-specs/arc-graphics-64eu-mobile.c4194,Arc Graphics 64EU Mobile
142,/gpu-specs/arc-pro-a60m.c4161,Arc Pro A60M
143,/gpu-specs/iris-xe-graphics-80eu-mobile.c4059,Iris Xe Graphics 80EU Mobile
144,/gpu-specs/iris-xe-graphics-96eu-mobile.c4145,Iris Xe Graphics 96EU Mobile
145,/gpu-specs/uhd-graphics-64eu-mobile.c4143,UHD Graphics 64EU Mobile
