,link,name
231,/cpu-specs/ryzen-7-pro-5850u.c2774,Ryzen 7 PRO 5850U
232,/cpu-specs/ryzen-9-5900hs.c3518,Ryzen 9 5900HS
233,/cpu-specs/ryzen-9-5900hx.c2371,Ryzen 9 5900HX
234,/cpu-specs/ryzen-9-5980hs.c2370,Ryzen 9 5980HS
235,/cpu-specs/ryzen-9-5980hx.c3517,Ryzen 9 5980HX
236,/cpu-specs/core-i5-11260h.c2478,Core i5-11260H
237,/cpu-specs/core-i5-11300h.c2831,Core i5-11300H
238,/cpu-specs/core-i5-11320h.c2832,Core i5-11320H
239,/cpu-specs/core-i5-11400h.c2477,Core i5-11400H
240,/cpu-specs/core-i5-11500h.c2481,Core i5-11500H
241,/cpu-specs/core-i5-1155g7.c2486,Core i5-1155G7
242,/cpu-specs/core-i7-11370h.c2833,Core i7-11370H
243,/cpu-specs/core-i7-11375h.c2834,Core i7-11375H
244,/cpu-specs/core-i7-11390h.c2835,Core i7-11390H
245,/cpu-specs/core-i7-11600h.c2830,Core i7-11600H
246,/cpu-specs/core-i7-11800h.c2476,Core i7-11800H
247,/cpu-specs/core-i7-11850h.c2480,Core i7-11850H
248,/cpu-specs/core-i7-1195g7.c2485,Core i7-1195G7
249,/cpu-specs/core-i9-11900h.c2475,Core i9-11900H
250,/cpu-specs/core-i9-11900kb.c2484,Core i9-11900KB
251,/cpu-specs/core-i9-11950h.c2479,Core i9-11950H
252,/cpu-specs/core-i9-11980hk.c2474,Core i9-11980HK
253,/cpu-specs/xeon-w-11855m.c2483,Xeon W-11855M
254,/cpu-specs/xeon-w-11955m.c2482,Xeon W-11955M
255,/cpu-specs/ryzen-3-3250u.c2287,Ryzen 3 3250U
256,/cpu-specs/ryzen-3-4300u.c2286,Ryzen 3 4300U
257,/cpu-specs/ryzen-3-pro-4450u.c2503,Ryzen 3 PRO 4450U
258,/cpu-specs/ryzen-5-4500u.c2285,Ryzen 5 4500U
259,/cpu-specs/ryzen-5-4600h.c2283,Ryzen 5 4600H
260,/cpu-specs/ryzen-5-4600hs.c2295,Ryzen 5 4600HS
261,/cpu-specs/ryzen-5-4600u.c2284,Ryzen 5 4600U
262,/cpu-specs/ryzen-5-pro-4650u.c2504,Ryzen 5 PRO 4650U
263,/cpu-specs/ryzen-7-4700u.c2282,Ryzen 7 4700U
264,/cpu-specs/ryzen-7-4750u.c2502,Ryzen 7 4750U
265,/cpu-specs/ryzen-7-4800h.c2280,Ryzen 7 4800H
